t_sim,t_wall,phase,s0_deg,s1_deg,prism_m,gripper_state,robot_x,robot_y,obj_x,obj_y,obj_z
57.350,32.682,1. Start: simulation and gri,0.000,0.000,0.00067,0,0.0413,0.0473,,,
59.850,34.520,2. Decision: use the gripper,0.000,0.000,0.00067,0,0.0414,0.0477,,,
62.900,36.795,2. Decision: use the gripper,0.000,0.000,0.00067,0,0.0416,0.0482,,,
63.200,37.123,2. Decision: use the gripper,0.000,0.000,0.00067,0,0.0416,0.0483,,,
63.550,37.410,2. Decision: use the gripper,0.000,0.000,0.00067,0,0.0416,0.0484,,,
63.850,37.695,2. Decision: use the gripper,0.000,0.000,0.00067,0,0.0416,0.0484,,,
64.250,38.065,2. Decision: use the gripper,0.000,0.000,0.00100,1,0.0416,0.0485,,,
64.650,38.435,2. Decision: use the gripper,25.000,0.001,0.00100,1,0.0418,0.0485,,,
84.150,53.233,2. Decision: use the gripper,30.000,0.000,-0.00151,1,0.0427,0.0518,,,
84.650,53.747,2. Decision: use the gripper,30.000,0.000,-0.00651,1,0.0427,0.0519,,,
85.200,54.235,2. Decision: use the gripper,30.000,0.000,-0.01201,1,0.0427,0.0519,,,
85.750,54.678,2. Decision: use the gripper,30.000,0.000,-0.01701,1,0.0427,0.0520,,,
86.250,55.143,2. Decision: use the gripper,30.000,0.000,-0.02251,1,0.0428,0.0521,,,
86.750,55.581,2. Decision: use the gripper,5.000,19.999,-0.02289,2,0.0425,0.0522,,,
87.200,56.018,2. Decision: use the gripper,-35.000,20.000,-0.02288,2,0.0430,0.0523,,,
87.750,56.535,2. Decision: use the gripper,-20.000,45.010,-0.02287,2,0.0428,0.0524,,,
88.350,57.041,2. Decision: use the gripper,-0.250,39.969,-0.02282,2,0.0431,0.0526,,,
88.900,57.520,2. Decision: use the gripper,0.000,0.000,-0.02281,2,0.0427,0.0527,,,
89.300,58.030,2. Decision: use the gripper,0.000,0.000,-0.02081,2,0.0429,0.0528,,,
89.900,58.562,2. Decision: use the gripper,0.000,0.000,-0.01531,2,0.0429,0.0528,,,
90.450,59.064,2. Decision: use the gripper,0.000,0.000,-0.00981,2,0.0429,0.0529,,,
90.900,59.552,2. Decision: use the gripper,0.000,0.000,-0.00481,2,0.0429,0.0530,,,
91.400,59.983,2. Decision: use the gripper,0.000,0.000,-0.00031,2,0.0430,0.0531,,,
91.850,60.355,2. Decision: use the gripper,0.000,0.000,0.00100,1,0.0430,0.0532,,,
92.200,60.726,3. Retreat: go to the safe l,0.000,0.000,0.00100,1,0.0430,0.0532,,,
94.650,62.631,3. Retreat: go to the safe l,0.000,0.000,0.00100,1,0.0384,0.0536,,,
95.150,63.057,3. Retreat: go to the safe l,-0.000,0.000,0.00100,1,0.0338,0.0536,,,
95.600,63.449,3. Retreat: go to the safe l,0.000,0.000,0.00100,1,0.0291,0.0536,,,
96.050,63.850,3. Retreat: go to the safe l,0.000,0.000,0.00100,1,0.0244,0.0536,,,
96.500,64.243,3. Retreat: go to the safe l,0.000,0.000,0.00100,1,0.0197,0.0536,,,
96.950,64.708,3. Retreat: go to the safe l,-0.000,0.000,0.00100,1,0.0150,0.0536,,,
97.400,65.035,3. Retreat: go to the safe l,0.000,0.000,0.00100,1,0.0150,0.0537,,,
98.000,65.583,4. Align: translate to slot ,0.000,0.000,0.00100,1,0.0151,0.0538,,,
100.550,67.475,4. Align: translate to slot ,0.000,0.000,0.00100,1,0.0152,0.0542,,,
100.950,67.887,4. Align: translate to slot ,0.000,0.000,0.00100,1,0.0152,0.0543,,,
101.400,68.293,4. Align: translate to slot ,25.000,0.001,0.00100,1,0.0153,0.0543,,,
101.950,68.753,4. Align: translate to slot ,30.000,0.000,0.00099,1,0.0153,0.0362,,,
102.350,69.168,4. Align: translate to slot ,30.000,0.000,0.00099,1,0.0152,0.0180,,,
102.800,69.598,4. Align: translate to slot ,30.000,0.000,0.00099,1,0.0153,-0.0002,,,
103.200,69.980,4. Align: translate to slot ,30.000,0.000,0.00099,1,0.0152,-0.0185,,,
103.600,70.354,4. Align: translate to slot ,30.000,0.000,0.00099,1,0.0152,-0.0367,,,
104.000,70.733,4. Align: translate to slot ,30.000,0.000,0.00099,1,0.0152,-0.0549,,,
104.400,71.118,4. Align: translate to slot ,30.000,0.000,0.00099,1,0.0152,-0.0732,,,
104.800,71.528,4. Align: translate to slot ,30.000,0.000,0.00099,1,0.0152,-0.0914,,,
